# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
565	480.0	3376763995	9	1160.0,20.0,200.0,540.0
836	480.0	1257951952	9	680.0,840.0,160.0,200.0,360.0,640.0
847	480.0	3372374059	11	1020.0,900.0,660.0,180.0,40.0,80.0
129	485.0	3938671780	12	100.0,480.0,780.0,580.0
927	485.0	143455645	9	900.0,20.0,160.0,860.0
73	486.6666666666667	1903856342	12	200.0,1000.0,260.0
81	486.6666666666667	2746082846	13	300.0,1060.0,100.0
735	486.6666666666667	156263800	10	140.0,820.0,500.0
778	486.6666666666667	4150798666	9	440.0,800.0,220.0
856	486.6666666666667	175531718	11	80.0,1000.0,380.0
739	490.0	3106208201	12	920.0,60.0
291	492.0	3930472378	10	760.0,880.0,60.0,160.0,600.0
642	493.3333333333333	1791304737	10	980.0,420.0,80.0
982	493.3333333333333	1250865859	8	1020.0,140.0,320.0
379	495.0	326950196	10	260.0,60.0,900.0,760.0
65	496.0	1377561640	10	100.0,1020.0,280.0,900.0,180.0
24	500.0	2153302430	12	80.0,640.0,780.0
33	500.0	3092591086	7	560.0,920.0,20.0
58	500.0	178656310	10	960.0,180.0,360.0
71	500.0	3233060546	10	980.0,20.0
177	500.0	1489929039	11	540.0,620.0,340.0
443	500.0	413525338	8	1100.0,300.0,100.0
448	500.0	330594823	8	900.0,400.0,200.0
516	500.0	2752924031	9	880.0,120.0
777	500.0	1441073819	12	860.0,140.0
893	500.0	3191826967	8	900.0,200.0,600.0,200.0,600.0
999	500.0	2305022015	10	60.0,940.0
758	504.0	1638806054	8	100.0,560.0,720.0,500.0,640.0
531	505.0	1505481550	9	20.0,820.0,60.0,1120.0
633	505.0	4281214022	9	720.0,120.0,640.0,540.0
202	506.6666666666667	1208614574	8	100.0,580.0,840.0
244	506.6666666666667	1541175072	10	760.0,200.0,560.0
362	506.6666666666667	135099519	11	980.0,260.0,280.0
708	506.6666666666667	659329762	12	1220.0,140.0,160.0
215	508.0	3068436252	11	200.0,1080.0,540.0,600.0,120.0
376	508.0	2350480623	11	100.0,340.0,840.0,460.0,800.0
649	510.0	3814531563	13	40.0,760.0,580.0,660.0
826	510.0	708019870	13	1040.0,360.0,60.0,580.0
148	513.3333333333334	144009009	7	1060.0,200.0,280.0
255	513.3333333333334	1037655954	7	820.0,360.0,360.0
495	513.3333333333334	3038831067	10	80.0,900.0,480.0,220.0,880.0,520.0
567	513.3333333333334	1129738032	9	220.0,760.0,560.0
770	515.0	3607506729	11	780.0,780.0,300.0,200.0
846	515.0	3297720182	12	860.0,140.0,260.0,800.0
57	516.6666666666666	1953762369	10	720.0,40.0,80.0,820.0,760.0,680.0
454	516.6666666666666	2660972935	11	60.0,80.0,220.0,900.0,980.0,860.0
290	520.0	488792100	10	900.0,440.0,220.0
397	520.0	3248450340	11	360.0,520.0,20.0,1180.0
687	520.0	3450853393	11	180.0,860.0
18	525.0	68237344	8	300.0,280.0,580.0,940.0
140	525.0	3673882554	10	660.0,320.0,280.0,840.0
318	525.0	2536910154	9	1060.0,140.0,260.0,640.0
171	526.6666666666666	2467673250	7	840.0,380.0,360.0
334	526.6666666666666	1243695394	6	800.0,520.0,260.0
597	526.6666666666666	3621001614	8	1100.0,100.0,380.0
602	526.6666666666666	2321809062	9	140.0,1160.0,280.0
381	530.0	3182010863	8	40.0,1020.0
497	530.0	272574347	11	300.0,280.0,760.0,780.0
575	530.0	4107449965	11	700.0,240.0,640.0,540.0
741	530.0	4204497867	11	800.0,260.0
978	530.0	2575279807	9	740.0,200.0,320.0,860.0
16	533.3333333333334	226784384	10	820.0,20.0,760.0
309	533.3333333333334	2101737158	12	1000.0,360.0,240.0
481	533.3333333333334	1420561078	9	380.0,1120.0,100.0
648	533.3333333333334	2422272427	10	60.0,400.0,1140.0
871	533.3333333333334	2066841219	9	380.0,820.0,400.0
195	535.0	162804534	10	880.0,40.0,400.0,820.0
225	535.0	1870487019	11	340.0,680.0,880.0,240.0
668	535.0	3197992237	10	880.0,120.0,460.0,680.0
811	535.0	3577483222	10	940.0,280.0,20.0,900.0
995	535.0	1021106001	10	300.0,860.0,100.0,880.0
77	536.0	3271592071	8	1060.0,320.0,60.0,280.0,960.0
17	540.0	1311171239	9	960.0,120.0
297	540.0	3746741781	12	300.0,780.0,560.0,520.0
579	540.0	1368769170	11	900.0,180.0
636	540.0	550285563	9	640.0,1060.0,140.0,820.0,40.0
678	540.0	2336978692	10	840.0,380.0,180.0,920.0,380.0
870	540.0	90769735	8	440.0,980.0,660.0,80.0
949	540.0	4186288494	9	320.0,780.0,880.0,180.0
364	544.0	3875513869	8	800.0,260.0,440.0,40.0,1180.0
339	545.0	2896190417	10	940.0,60.0,160.0,1020.0
834	545.0	95750845	10	880.0,160.0,100.0,1040.0
327	546.6666666666666	3725587295	10	60.0,900.0,680.0
201	548.0	2348883638	9	840.0,680.0,1060.0,40.0,120.0
337	550.0	3020804850	13	120.0,240.0,1000.0,540.0,380.0,1020.0
359	550.0	1389361337	9	300.0,880.0,920.0,100.0
406	550.0	1825144073	11	300.0,1060.0,360.0,480.0
658	550.0	1311687301	12	960.0,380.0,440.0,420.0
848	550.0	3766118955	10	120.0,1220.0,200.0,660.0
