# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
805	9800.0	3978902754	2	12640.0,6960.0
215	9810.0	3068436252	2	5720.0,13900.0
190	9820.0	1983935815	2	13540.0,6100.0
450	9850.0	3414588663	2	14280.0,5420.0
849	9850.0	3047169520	2	8820.0,10880.0
470	9860.0	2200588765	2	9080.0,10640.0
518	9930.0	3581447288	2	10180.0,9680.0
78	9940.0	2997527575	2	16620.0,3260.0
853	9950.0	1166480850	2	10780.0,9120.0
385	9990.0	1722402420	2	14220.0,5760.0
0	10010.0	123	2	15080.0,4940.0
288	10030.0	1796160306	2	10380.0,9680.0
667	10050.0	975733941	2	5260.0,14840.0
796	10050.0	2772423897	2	12020.0,8080.0
891	10050.0	988408309	2	11540.0,8560.0
637	10080.0	4078212454	2	12720.0,7440.0
43	10150.0	3954832450	2	10260.0,10040.0
683	10190.0	3107583521	2	11060.0,9320.0
614	10240.0	3947967244	2	10860.0,9620.0
104	10260.0	1712613135	2	12280.0,8240.0
687	10270.0	3450853393	2	12780.0,7760.0
130	10280.0	735434617	2	12120.0,8440.0
580	10370.0	2443713480	2	17120.0,3620.0
778	10410.0	4150798666	2	17240.0,3580.0
124	10430.0	3095259867	2	11540.0,9320.0
208	10440.0	3511399985	2	9360.0,11520.0
342	10440.0	2866803286	2	11320.0,9560.0
496	10460.0	1920852728	2	8780.0,12140.0
307	10500.0	3400441450	2	15240.0,5760.0
197	10510.0	1991848814	2	15080.0,5940.0
471	10510.0	294025575	2	8140.0,12880.0
12	10520.0	3358372074	2	12500.0,8540.0
643	10520.0	1633079030	2	13620.0,7420.0
815	10530.0	2044333302	2	12920.0,8140.0
233	10550.0	312734638	2	13400.0,7700.0
135	10590.0	3442610362	2	13460.0,7720.0
765	10590.0	2150199824	2	14700.0,6480.0
323	10600.0	659936822	2	11200.0,10000.0
548	10600.0	67462864	2	12580.0,8620.0
915	10620.0	1651423045	2	13820.0,7420.0
713	10650.0	3493337456	2	13500.0,7800.0
599	10660.0	189358393	2	11120.0,10200.0
629	10660.0	1037509349	2	16100.0,5220.0
449	10680.0	2737729610	2	10720.0,10640.0
195	10700.0	162804534	2	16380.0,5020.0
564	10730.0	2124817559	2	18300.0,3160.0
749	10730.0	1510822474	2	18220.0,3240.0
553	10740.0	3686355984	2	14940.0,6540.0
894	10820.0	946129775	2	12980.0,8660.0
981	10870.0	3623625777	2	14560.0,7180.0
89	10880.0	3849912542	2	13260.0,8500.0
90	10880.0	3382644140	2	16460.0,5300.0
305	10910.0	1645294096	2	15640.0,6180.0
744	10930.0	2692238854	2	11400.0,10460.0
727	10990.0	1098118723	2	16180.0,5800.0
547	11000.0	535794357	2	12080.0,9920.0
740	11010.0	649359641	2	11160.0,10860.0
755	11010.0	2659804881	2	4100.0,17920.0
574	11020.0	497139702	2	5900.0,16140.0
593	11030.0	2557811465	2	13880.0,8180.0
622	11040.0	2444160877	2	11040.0,11040.0
920	11050.0	565762708	2	6600.0,15500.0
22	11060.0	3534643251	2	13560.0,8560.0
696	11090.0	3289354956	2	12080.0,10100.0
268	11100.0	3638675121	2	13980.0,8220.0
552	11120.0	2348813732	2	14540.0,7700.0
935	11140.0	2679366780	2	11500.0,10780.0
